Latitude,Longitude,Speed
54.66642,-3.36786,0
54.66637,-3.36778,0
54.66627,-3.3677,0
54.66622,-3.36769,0
54.66618,-3.36773,0
54.66615,-3.36794,0
54.66608,-3.36803,0
54.66609,-3.3681,0
54.66607,-3.36823,0
54.66596,-3.3686,0
54.66597,-3.36867,0
54.66583,-3.36871,0
54.66566,-3.36894,0
54.66561,-3.36895,0
54.66559,-3.36902,0
54.66552,-3.36915,0
54.66545,-3.36926,0
54.6654,-3.3693,0
54.66534,-3.36943,0
54.66532,-3.36951,0
54.66524,-3.36966,0
54.66519,-3.36972,0
54.6651,-3.3699,0
54.66507,-3.37004,0
54.66504,-3.3701,0
54.66496,-3.37024,0
54.6649,-3.3703,0
54.66488,-3.37034,0
54.66481,-3.37041,0
54.66474,-3.37054,0
54.66455,-3.371,0
54.66452,-3.37117,0
54.66448,-3.37119,0
54.66444,-3.37126,0
54.66443,-3.37135,0
54.66444,-3.37142,0
54.6645,-3.37148,0
54.6646,-3.37151,0
54.66468,-3.3715,0
54.66479,-3.37157,0
54.66479,-3.3716,0
54.66487,-3.37161,0
54.66493,-3.37168,0
54.66496,-3.3717,0
54.66501,-3.37179,0
54.66507,-3.37184,0
54.66509,-3.37183,0
54.66516,-3.3719,0
54.66526,-3.37189,0
54.66535,-3.37197,0
54.66542,-3.37198,0
54.66546,-3.37201,0
54.6657,-3.3723,0
54.66577,-3.37233,0
54.6658,-3.37229,0
54.66586,-3.37233,0
54.66588,-3.37239,0
54.66592,-3.37241,0
54.66597,-3.37247,0
54.66604,-3.37248,0
54.66607,-3.37252,0
54.66614,-3.37251,0
54.66619,-3.37253,0
54.66625,-3.37252,0
54.66626,-3.3725,0
54.6663,-3.37252,0
54.66634,-3.37248,0
54.66637,-3.37249,0
54.66644,-3.37247,0
54.6666,-3.37238,0
54.66663,-3.37234,0
54.66671,-3.37235,0
54.66678,-3.37234,0
54.66679,-3.37238,0
54.66683,-3.37232,0
54.66688,-3.37233,0
54.66694,-3.37228,0
54.66705,-3.37232,0
54.6671,-3.37231,0
54.66713,-3.37235,0
54.66716,-3.37244,0
54.66724,-3.3724,0
54.66728,-3.37234,0
54.66728,-3.37232,0
54.66722,-3.37222,0
54.66717,-3.37203,0
54.66713,-3.37197,0
54.66714,-3.37191,0
54.66708,-3.37171,0
54.66711,-3.37167,0
54.66705,-3.37147,0
54.66702,-3.37124,0
54.667,-3.37119,0
54.66697,-3.37118,0
54.66695,-3.37114,0
54.66692,-3.37098,0
54.66684,-3.37071,0
54.66681,-3.37052,0
54.66675,-3.37027,0
54.66675,-3.37008,0
54.66678,-3.37001,0
54.66678,-3.36994,0
54.66684,-3.3697,0
54.66683,-3.36966,0
54.66684,-3.36948,0
54.66682,-3.36922,0
54.66679,-3.36904,0
54.66665,-3.36894,0
54.66649,-3.36884,0
54.66643,-3.36876,0
54.6665,-3.36864,0
54.6666,-3.36838,0
54.66656,-3.36822,0
54.66657,-3.36794,0
54.6666,-3.3679,0
54.6666,-3.36787,0
54.66656,-3.36782,0
54.66652,-3.3678,0
54.66646,-3.36781,0
54.66644,-3.36777,0
